河南移动,#genre#
美食汇,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8?stbId=10&channel-id=ystenlive
河南乡村频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226443/index.m3u8?stbId=10&channel-id=ystenlive
调解剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8?stbId=10&channel-id=ystenlive
河南睛彩中原,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8?stbId=10&channel-id=ystenlive
河南文宝,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226447/index.m3u8?stbId=10&channel-id=ystenlive
河南卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8?stbId=10&channel-id=ystenlive
安阳新闻综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8?stbId=10&channel-id=ystenlive
安阳科教频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8?stbId=10&channel-id=ystenlive
内黄综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226356/index.m3u8?stbId=10&channel-id=ystenlive
求索记录,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226114/index.m3u8?stbId=10&channel-id=ystenlive
求索记录2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226115/index.m3u8?stbId=10&channel-id=ystenlive
1117号[1920*1080],http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226116/index.m3u8?stbId=10&channel-id=ystenlive
1119号[1920*1080],http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226118/index.m3u8?stbId=10&channel-id=ystenlive
DOX高清剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226314/index.m3u8?stbId=10&channel-id=ystenlive
映画频道高清,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226315/index.m3u8?stbId=10&channel-id=ystenlive
新知频道高清,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226316/index.m3u8?stbId=10&channel-id=ystenlive
怡家频道高清,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226317/index.m3u8?stbId=10&channel-id=ystenlive
1319号[1920*1080],http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226318/index.m3u8?stbId=10&channel-id=ystenlive
1320号[1920*1080],http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226319/index.m3u8?stbId=10&channel-id=ystenlive
1322号[3840*2160],http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226321/index.m3u8?stbId=10&channel-id=ystenlive
1321号[1920*1080],http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8?stbId=10&channel-id=ystenlive
1323号[1920*1080],http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226322/index.m3u8?stbId=10&channel-id=ystenlive
欢笑剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8?stbId=10&channel-id=ystenlive
都市剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226324/index.m3u8?stbId=10&channel-id=ystenlive
动漫秀场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226325/index.m3u8?stbId=10&channel-id=ystenlive
快乐垂钓,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226326/index.m3u8?stbId=10&channel-id=ystenlive
七彩戏剧,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8?stbId=10&channel-id=ystenlive
游戏风云,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226328/index.m3u8?stbId=10&channel-id=ystenlive
茶频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226329/index.m3u8?stbId=10&channel-id=ystenlive
先锋乒羽,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226331/index.m3u8?stbId=10&channel-id=ystenlive
生活时尚,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8?stbId=10&channel-id=ystenlive
金色频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226332/index.m3u8?stbId=10&channel-id=ystenlive
家庭理财,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226333/index.m3u8?stbId=10&channel-id=ystenlive
环球旅游,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8?stbId=10&channel-id=ystenlive
探索全纪实,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226335/index.m3u8?stbId=10&channel-id=ystenlive
极速汽车,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226337/index.m3u8?stbId=10&channel-id=ystenlive
财富天下,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226334/index.m3u8?stbId=10&channel-id=ystenlive
摄影频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8?stbId=10&channel-id=ystenlive
老故事,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8?stbId=10&channel-id=ystenlive
天元围棋,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8?stbId=10&channel-id=ystenlive
法治天地,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226340/index.m3u8?stbId=10&channel-id=ystenlive
1344,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226343/index.m3u8?stbId=10&channel-id=ystenlive
中华特产,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8?stbId=10&channel-id=ystenlive
iHOT爱院线,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8?stbId=10&channel-id=ystenlive
车迷频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226347/index.m3u8?stbId=10&channel-id=ystenlive
金鹰纪实,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226349/index.m3u8?stbId=10&channel-id=ystenlive
iHOT爱解密,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226351/index.m3u8?stbId=10&channel-id=ystenlive
体育赛事,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226357/index.m3u8?stbId=10&channel-id=ystenlive
iHOT爱电竞,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226353/index.m3u8?stbId=10&channel-id=ystenlive
陶瓷,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226355/index.m3u8?stbId=10&channel-id=ystenlive
优漫卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8?stbId=10&channel-id=ystenlive
西藏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226408/index.m3u8?stbId=10&channel-id=ystenlive
哈哈炫动,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226410/index.m3u8?stbId=10&channel-id=ystenlive
新疆纪实,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8?stbId=10&channel-id=ystenlive
KAKU少儿,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226411/index.m3u8?stbId=10&channel-id=ystenlive
嘉佳卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226412/index.m3u8?stbId=10&channel-id=ystenlive
金鹰卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226413/index.m3u8?stbId=10&channel-id=ystenlive
青海卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226414/index.m3u8?stbId=10&channel-id=ystenlive
甘肃卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226415/index.m3u8?stbId=10&channel-id=ystenlive
广西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226416/index.m3u8?stbId=10&channel-id=ystenlive
宁夏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226418/index.m3u8?stbId=10&channel-id=ystenlive
海南卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226417/index.m3u8?stbId=10&channel-id=ystenlive
重庆卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226420/index.m3u8?stbId=10&channel-id=ystenlive
山西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8?stbId=10&channel-id=ystenlive
内蒙古卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8?stbId=10&channel-id=ystenlive
东南卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226423/index.m3u8?stbId=10&channel-id=ystenlive
天津卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8?stbId=10&channel-id=ystenlive
湖北卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8?stbId=10&channel-id=ystenlive
深圳卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226426/index.m3u8?stbId=10&channel-id=ystenlive
吉林卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8?stbId=10&channel-id=ystenlive
云南卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8?stbId=10&channel-id=ystenlive
湖南卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8?stbId=10&channel-id=ystenlive
四川卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226429/index.m3u8?stbId=10&channel-id=ystenlive
江西卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8?stbId=10&channel-id=ystenlive
棋牌汇,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226449/index.m3u8?stbId=10&channel-id=ystenlive
浙江卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8?stbId=10&channel-id=ystenlive
江苏卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8?stbId=10&channel-id=ystenlive
北京卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226452/index.m3u8?stbId=10&channel-id=ystenlive
黑龙江卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226453/index.m3u8?stbId=10&channel-id=ystenlive
上海卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8?stbId=10&channel-id=ystenlive
广东卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8?stbId=10&channel-id=ystenlive
山东卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8?stbId=10&channel-id=ystenlive
辽宁卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8?stbId=10&channel-id=ystenlive
安徽卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226455/index.m3u8?stbId=10&channel-id=ystenlive
陕西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226458/index.m3u8?stbId=10&channel-id=ystenlive
贵州卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8?stbId=10&channel-id=ystenlive
河北卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8?stbId=10&channel-id=ystenlive
河南IPTV导视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226464/index.m3u8?stbId=10&channel-id=ystenlive
河南4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226489/index.m3u8?stbId=10&channel-id=ystenlive
戏曲4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226491/index.m3u8?stbId=10&channel-id=ystenlive
国学频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226493/index.m3u8?stbId=10&channel-id=ystenlive
湖南卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8?stbId=10&channel-id=ystenlive
安徽卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226506/index.m3u8?stbId=10&channel-id=ystenlive
浙江卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226509/index.m3u8?stbId=10&channel-id=ystenlive
江苏卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8?stbId=10&channel-id=ystenlive
超级电视剧[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8?stbId=10&channel-id=ystenlive
超级综艺[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8?stbId=10&channel-id=ystenlive
超级电影[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8?stbId=10&channel-id=ystenlive
黑莓电影[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8?stbId=10&channel-id=ystenlive
黑莓动画[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225529/index.m3u8?stbId=10&channel-id=ystenlive
Newtv欢乐剧场[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225682/index.m3u8?stbId=10&channel-id=ystenlive
Newtv军旅剧场[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8?stbId=10&channel-id=ystenlive
Newtv精品大剧[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8?stbId=10&channel-id=ystenlive
Newtv爱情喜剧[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8?stbId=10&channel-id=ystenlive
Newtv农业致富[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8?stbId=10&channel-id=ystenlive
Newtv东北热剧[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8?stbId=10&channel-id=ystenlive
Newtv惊悚悬疑[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8?stbId=10&channel-id=ystenlive
Newtv动作电影[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8?stbId=10&channel-id=ystenlive
Newtv古装剧场[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8?stbId=10&channel-id=ystenlive
Newtv金牌综艺[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8?stbId=10&channel-id=ystenlive
Newtv精品体育[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8?stbId=10&channel-id=ystenlive
Newtv家庭剧场[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8?stbId=10&channel-id=ystenlive
Newtv潮妈辣婆[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8?stbId=10&channel-id=ystenlive
Newtv武博世界[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8?stbId=10&channel-id=ystenlive
Newtv精品记录[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8?stbId=10&channel-id=ystenlive
Newtv军事评论[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8?stbId=10&channel-id=ystenlive
Newtv怡伴健康[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8?stbId=10&channel-id=ystenlive
Newtv中国功夫[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8?stbId=10&channel-id=ystenlive
</li>

全网通,#genre#
CTV-1高清,http://122.96.52.20/gitv_live/CCTV-1-HD/CCTV-1-HD.m3u8?p=GITV&area=AH_CMCC
CCTV-1,http://122.96.52.20/gitv_live/G_CCTV-1/G_CCTV-1.m3u8?p=GITV&area=AH_CMCC
CCTV-1超清,http://122.96.52.20/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8?p=GITV&area=AH_CMCC
CCTV2超清-GITV,http://122.96.52.20/gitv_live/G_CCTV-2-HQ/G_CCTV-2-HQ.m3u8?p=GITV&area=AH_CMCC
CCTV-2,http://122.96.52.20/gitv_live/G_CCTV-2/G_CCTV-2.m3u8?p=GITV&area=AH_CMCC

CCTV-3,http://122.96.52.20/gitv_live/CCTV-3/CCTV-3.m3u8?p=GITV&area=AH_CMCC
cctv3综艺超清-8M,http://122.96.52.20/gitv_live/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8?p=GITV&area=AH_CMCC
CCTV-3,http://122.96.52.20/gitv_live/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8?p=GITV&area=AH_CMCC
cctv4中文国际超清-8M,http://122.96.52.20/gitv_live/G_CCTV-4-HQ/G_CCTV-4-HQ.m3u8?p=GITV&area=AH_CMCC
CCTV-4,http://122.96.52.20/gitv_live/CCTV-4/CCTV-4.m3u8?p=GITV&area=AH_CMCC
CCTV-4高清,http://122.96.52.20/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8?p=GITV&area=AH_CMCC
CCTV-5,http://122.96.52.20/gitv_live/CCTV-5/CCTV-5.m3u8?p=GITV&area=AH_CMCC
CCTV-5超清,http://122.96.52.20/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8?p=GITV&area=AH_CMCC
CCTV-5,http://122.96.52.20/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8?p=GITV&area=AH_CMCC

CCTV-5,http://122.96.52.20/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8?p=GITV&area=AH_CMCC

cctv5P体育赛事超清,http://122.96.52.20/gitv_live/G_CCTV-5PLUS-HD/G_CCTV-5PLUS-HD.m3u8?p=GITV&area=AH_CMCC
CCTV-5+高清,http://122.96.52.20/gitv_live/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8?p=GITV&area=AH_CMCC
CCTV-6,http://122.96.52.20/gitv_live/CCTV-6/CCTV-6.m3u8?p=GITV&area=AH_CMCC
cctv6电影超清-8M,http://122.96.52.20/gitv_live/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8?p=GITV&area=AH_CMCC
CCTV-6高清,http://122.96.52.20/gitv_live/G_CCTV-6-HD/G_CCTV-6-HD.m3u8?p=GITV&area=AH_CMCC
CCTV-7超清,http://122.96.52.20/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8?p=GITV&area=AH_CMCC
CCTV-7,http://122.96.52.20/gitv_live/CCTV-7/CCTV-7.m3u8?p=GITV&area=AH_CMCC
CCTV-8高清,http://122.96.52.20/gitv_live/G_CCTV-8-HD/G_CCTV-8-HD.m3u8?p=GITV&area=AH_CMCC
CCTV-8,http://122.96.52.20/gitv_live/G_CCTV-8/G_CCTV-8.m3u8?p=GITV&area=AH_CMCC
cctv8电视剧超清-8M,http://122.96.52.20/gitv_live/G_CCTV-8-CQ/G_CCTV-8-CQ.m3u8?p=GITV&area=AH_CMCC
CCTV-9,http://122.96.52.20/gitv_live/G_CCTV-9/G_CCTV-9.m3u8?p=GITV&area=AH_CMCC
CCTV-10,http://122.96.52.20/gitv_live/CCTV-10/CCTV-10.m3u8?p=GITV&area=AH_CMCC
CCTV-11,http://122.96.52.20/gitv_live/CCTV-11/CCTV-11.m3u8?p=GITV&area=AH_CMCC
CCTV-12,http://122.96.52.20/gitv_live/CCTV-12/CCTV-12.m3u8?p=GITV&area=AH_CMCC
CCTV-13,http://122.96.52.20/gitv_live/CCTV-13/CCTV-13.m3u8?p=GITV&area=AH_CMCC
CCTV-13超清,http://122.96.52.20/gitv_live/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8?p=GITV&area=AH_CMCC
CCTV-14,http://122.96.52.20/gitv_live/G_CCTV-14/G_CCTV-14.m3u8?p=GITV&area=AH_CMCC
CCTV-15,http://122.96.52.20/gitv_live/G_CCTV-15/G_CCTV-15.m3u8?p=GITV&area=AH_CMCC
CCTV-NEWS,http://122.96.52.20/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8?p=GITV&area=AH_CMCC
爱上4K 32M2160,http://111.20.105.187:6610/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影 8M1080,http://111.20.105.187:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院 8M1080,http://111.20.105.187:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影 8M1080,http://111.20.105.187:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

